tema;ano;texto;enunciado;op_a;op_b;op_c;op_d;op_e;gabarito;explicacao
morfologia;2025;a entrega de dois mundos incognoscíveis (...);Assinale a opção em que o termo destacado possui o mesmo processo de formação de palavra que o do trecho sublinhado acima.;A) O governo decidiu repatriar os cidadãos que estavam no exterior.;B) Ele tinha aversão a lugares muito barulhentos.;C) O gentio da região sempre acolhe os visitantes com hospitalidade.;D) O almirantado planejou uma nova estratégia para a frota no mar.;E) O enlace entre familiares fortalece os vínculos da sociedade.;4;O termo 'incognoscíveis' apresenta formação por derivação prefixal e sufixal simultânea, o que equivale morfologicamente à estrutura de derivação presente em 'enlace' (derivação regressiva do verbo enlaçar).
interpretacao;2025;;No primeiro parágrafo do texto I, há um fenômeno denominado de heterogeneidade tipológica. Assinale a opção que apresenta corretamente os tipos textuais que predominam no referido parágrafo.;A) Narrativo e injuntivo.;B) Descritivo e argumentativo.;C) Expositivo e narrativo.;D) Argumentativo e injuntivo.;E) Descritivo e narrativo.;1;O parágrafo inicial faz ponderações e juízos de valor sobre o mar e a mulher (argumentação) enquanto caracteriza o cenário da praia (descrição).
semantica;2025;O sol se abre mais (...);O fragmento retirado do texto representa um tipo de construção da linguagem coloquial. Assinale a opção que também apresenta coloquialidade.;A) Assistir o jogo ou ir para a praça, naquela tarde tediosa, era o dilema.;B) Já não se lembra da picardia que me fez no mês passado?;C) Entre mim e tí, não importa o dia, não pode haver nenhuma confusão.;D) Mesmo eu quase falando, não perceberam ainda onde quero morar.;E) Nem João nem Carlos será eleito presidente do clube do bairro.;0;Na opção A, a regência do verbo 'assistir' com sentido de presenciar foi usada de forma coloquial (sem a preposição 'a'), o que contraria a norma culta padrão ('assistir ao jogo').
sintaxe;2025;Ai está ele, o mar (...);Quanto à ordem gramatical e natureza sintática do termo destacado, assinale a opção em que se observa o mesmo tipo de realce verificado na utilização do termo destacado no trecho acima.;A) Que fazes tu de grande e bom?;B) Isso não se faz, protestou Fabiano.;C) Acolá, no Catongo, é uma festa.;D) Não vês o que te dou eu?;E) Servia-se o almoço às dez.;0;O termo apresenta uma estrutura sintática de inversão e realce pronominal que encontra perfeita equivalência no padrão de construção frasal da opção A.
interpretacao;2025;;Assinale a opção em que o fragmento retirado do texto evidencia o fenômeno da intertextualidade implicita.;A) 'O cheiro é de uma maresia tonteante...' 6°§;B) 'Avançando, ela abre o mar pelo meio...' 8°§;C) 'E era isso o que lhe estava faltando...' 9°§;D) 'Mergulha de novo, de novo bebe, mais água...' 10°§;E) 'Não está caminhando sobre as águas ah nunca faria isso depois que há milênios já andaram sobre as águas...' 11°§;4;A opção E faz uma referência implícita direta à passagem bíblica de Jesus caminhando sobre as águas, configurando o fenômeno da intertextualidade implícita.
concordancia;2025;Havia sempre muitos navios.;Observe que o verbo está corretamente flexionado. Assinale a opção em que a flexão verbal do vocábulo destacado está correta de acordo com a norma padrão.;A) Ainda assim, naquele momento, mesmo havendo oposição a tudo, restava cerca de cem viragos.;B) Foi um dos poucos no seu tempo que reconheceu a originalidade da literatura brasileira.;C) As 'Memórias Póstumas de Brás Cubas' lhe dava uma outra dimensão do que poderia representar seu autor.;D) Com o sol rachando o solo já seco, soou doze horas por igrejas daqueles vales empoeirados.;E) Eu não estava num bom momento, olhar e ver eram para mim um recurso de defesa.;1;A opção B está correta. Na estrutura 'um dos que', o verbo pode concordar no plural ou ficar no singular enfatizando o indivíduo singular ('reconheceu').
regencia;2025;Sabia que não estavam ali à espera do prático.;Com relação ao sinal indicativo de crase, assinale a opção em que o acento ocorreu pelo mesmo motivo observado no trecho acima.;A) Mesmo vindo recentemente da Inglaterra, vou à cidade de Londres passar férias.;B) Os veludos de fora, talhados à francesa, resplandeciam constelados de pérolas.;C) Aquilo que menos tinha conexão, de fato, trouxe prejuízos de toda a natureza.;D) Junto às advogadas, parecia ser conhecedora do assunto como suas acompanhantes.;E) Por conta de seu histórico, não duvidávamos que estivesse à procura de problemas.;4;No trecho original, a crase ocorre devido à locução conjuntiva/prepositiva feminina 'à espera de'. O mesmo ocorre na opção E com a locução 'à procura de'.
pontuacao;2025;Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios esperavam por ele (...);Assinale a opção em que a reescritura do trecho mantém a correção gramatical, com relação à pontuação.;A) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que, na névoa da manhã, os navios esperavam por ele.;B) Mas, sentado no banco, com o cachorro deitado a seu lado gostava, de pensar que na névoa da manhã os navios esperavam por ele.;C) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã, os navios esperavam por ele.;D) Mas, sentado no banco com o cachorro deitado a seu lado gostava de pensar, que na névoa da manhã, os navios esperavam por ele.;E) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios, esperavam por ele.;0;A opção A isola corretamente o adjunto adverbial de tempo intercalado 'na névoa da manhã' por meio de vírgulas, mantendo a frase totalmente correta.
ortografia;2025;Toda manhã sala (...);Assinale a opção cuja palavra seja acentuada pela mesma razão que a sublinhada no trecho acima (saía - hiato).;A) Júri.;B) Dificil.;C) Reúne.;D) Até.;E) Ímã.;2;A palavra 'saía' é acentuada pela regra do hiato (I ou U tônicos sozinhos na sílaba). A única palavra que segue essa mesma regra é 'Re-ú-ne'.
semantica;2025;No entanto, por trás da diversão aparente, existe um perigo real: a dependência.;Assinale a opção que, contextualmente, substitui o trecho 'é preciso' em 'é preciso explorar os fatores danosos' COM alteração de sentido.;A) é mandatário.;B) faz-se mister.;C) imperativo.;D) é imprescindível.;E) é capital.;0;Todas as opções trazem sinônimos de necessidade absoluta ou urgência, exceto 'é mandatário' que altera a semântica original do contexto para uma relação puramente de mandado político/jurídico.
concordancia;2025;Reconhecer os riscos associados à compulsividade no jogo e implementar medidas de prevenção e tratamento é passo essencial (...);Quanto à concordância, a forma verbal destacada foi usada corretamente. Assinale a opção em que o vocábulo sublinhado também foi empregado de forma correta.;A) Ainda que seja polêmico, o fazer e o escrever é a mesma coisa.;B) São deveras importante criar novas ações para novos desafios.;C) Ele em severa crise com sua consciência, se alternam rir e chorar.;D) Correr, nadar e pedalar fazem parte de sua intensa rotina matinal.;E) Ficar e partir é encarado pelo protagonista com uma frieza absurda.;2;Na alternativa C, a alternância de infinitivos como sujeitos compostos exige a flexão verbal no plural ('se alternam rir e chorar'), estando totalmente correta.
semantica;2024;O falecido Neil Armstrong, cuja pegada continua intacta na Lua sem vento, foi mais feliz que os caçadores-coletores anônimos que há 30 mil anos deixaram suas marcas de mão em uma parede na caverna de Chauvet?;Assinale a opção em que o vocábulo sublinhado acarreta mais de uma possibilidade de interpretação (ambiguidade) à sentença.;A) Amanhã mesmo vou para Belo Horizonte e lá pego o avião do Rio.;B) Sabeis, que ao Mestre vai matá-lo.;C) Joaquim e Pedro enganaram-se.;D) Em casual encontro com Júlia, Pedro fez comentários sobre os exames deles.;E) Outro dia eu volto, talvez depois de amanhã, ou na primavera.;2;A opção C gera ambiguidade recíproca/reflexiva: 'enganaram-se' pode significar que Joaquim enganou a si mesmo e Pedro a si mesmo (reflexivo) ou que um enganou o outro (recíproco).
sintaxe;2024;Quando os humanos aprenderam a lavrar a terra na Revolução Agrícola, sua capacidade coletiva de moldar seu ambiente aumentou, mas o destino de muitos indivíduos humanos se tornou mais cruel.;Assinale a opção na qual o trecho sublinhado está coordenado com outra oração.;A) 'Mas isso esteve longe de ser uma boa notícia para os milhões de africanos, índios americanos e aborígenes australianos.';B) 'Conforme vimos, novas aptidões, comportamentos e habilidades não necessariamente contribuem para uma vida melhor.';C) 'Considerando a comprovada propensão humana para fazer mau uso do poder, parece ingênuo acreditar que quanto mais influência as pessoas tiverem, mais felizes serão.';D) '[...] decorre que devemos ser mais felizes que nossos ancestrais medievais e que eles devem ter sido mais felizes que os caçadores-coletores da Idade da Pedra.';E) 'O falecido Neil Armstrong, cuja pegada continua intacta na Lua sem vento, foi mais feliz que os caçadores-coletores anônimos [...]';3;Na opção D, as duas orações completivas subordinadas ('que devemos ser...' e 'que eles devem...') estão unidas pela conjunção aditiva 'e', estabelecendo coordenação entre si.
semantica;2024;Mas somos mais felizes? A riqueza que a humanidade acumulou nos últimos cinco séculos se traduz em contentamento?;Assinale a opção que NÃO apresenta o emprego de linguagem denotativa.;A) 'A descoberta de fontes de energia inesgotáveis abre diante de nós depósitos inesgotáveis de felicidade?';B) '[...] novas aptidões, comportamentos e habilidades não necessariamente contribuem para uma vida melhor.';C) 'Os camponeses tinham de trabalhar mais do que os caçadores-coletores para obter alimentos menos variados e nutritivos [...]';D) '[...] parece ingênuo acreditar que quanto mais influência as pessoas tiverem, mais felizes serão.';E) '[...] devemos ser mais felizes que nossos ancestrais medievais e que eles devem ter sido mais felizes que os caçadores-coletores da Idade da Pedra.';0;A opção A usa linguagem conotativa (figurada) através da metáfora abstrata 'depósitos inesgotáveis de felicidade'.
sintaxe;2024;;Assinale a opção em que os termos destacados exercem a mesma função sintática que a do trecho sublinhado em: 'A descoberta de fontes de energia inesgotáveis abre diante de nós depósitos inesgotáveis de felicidade?';A) Durante a aula, busquei estimular a criatividade de meus alunos.;B) A atitude do professor foi justa.;C) Comprei o material de um site famoso.;D) A invenção do computador mudou o século XIX.;E) Os aplausos do público alegraram os artistas.;3;O termo original funciona como Sujeito da oração. Na opção D, 'A invenção do computador' também exerce o papel de Sujeito.
semantica;2024;Embora poucos tenham estudado a história da felicidade no longo prazo, quase todos os estudiosos e leigos têm alguma ideia vaga preconcebida a esse respeito.;Assinale a opção em que a conjunção subordinativa destacada foi substituída corretamente, sem alteração de sentido.;A) Dado que poucos tenham estudado...;B) Porquanto poucos tenham estudado...;C) Bem como poucos tenham estudado...;D) Mal poucos tenham estudado...;E) Conquanto poucos tenham estudado...;4;A conjunção concessiva 'Embora' foi corretamente substituída por 'Conquanto', que preserva o valor concessivo original.
morfologia;2024;;A sentença transcrita em que há a correta correspondência entre o pronome destacado e o referente a ele atribuído no contexto é:;A) '[...] cuja pegada continua intacta na Lua sem vento ...]' - o falecido Neil Armstrong.;B) '[...] quase todos os estudiosos e leigos têm alguma ideia vaga preconcebida a esse respeito.' - longo prazo.;C) '[...] sua capacidade coletiva de moldar seu ambiente aumentou [...]' - ambiente.;D) '[...] o destino de muitos indivíduos humanos se tornou mais cruel.' - indivíduos humanos.;E) 'Mas isso esteve longe de ser uma boa notícia [...]' - disseminação dos impérios europeus.;0;O pronome relativo-possessivo 'cuja' refere-se ao antecedente 'o falecido Neil Armstrong' estabelecendo relação de posse com 'pegada'.
concordancia;2024;Trechos da prova analisados sob a ótica da concordância verbal e nominal padrão.;Analise as afirmativas de concordância do caderno (I, II, III, IV) e assinale a opção correta.;A) Apenas as afirmativas I e II estão corretas.;B) Apenas as afirmativas I, II e III estão corretas.;C) Apenas as afirmativas II, III e IV estão corretas.;D) Apenas as afirmativas I, III e IV estão corretas.;E) Apenas as afirmativas III e IV estão corretas.;4;As afirmativas III e IV respeitam integralmente as normas gramaticais de concordância nominal e verbal da norma culta.
regencia;2024;;Assinale a opção em que a substituição do trecho sublinhado pelo que está entre colchetes torna a sentença INCORRETA, de acordo com a norma culta.;A) [...] estavam muito mais expostos a doenças e à exploração. [ às doenças e à exploração];B) A descoberta de fontes de energia inesgotáveis... [fontes de energia inesgotável];C) [...] caçadores-coletores anônimos que há 30 mil anos deixaram... [acerca de 30 mil];D) Considerando a comprovada propensão... [o comprovado pendor humano];E) Embora poucos tenham estudado... [quase todo estudioso e leigo];2;Substituir 'há 30 mil anos' (indicação de tempo decorrido) por apenas 'acerca de 30 mil' deixa a oração sem o verbo indicativo de tempo passado, gerando incorreção.
semantica;2024;Considerando que os humanos geralmente usam suas capacidades para aliviar sofrimentos e satisfazer aspirações [...];Com base nas relações lexicais, assinale a opção em que a palavra estabelece uma relação de sinonimia com o termo 'aliviar'.;A) Depletar.;B) Afamar.;C) Ressignificar.;D) Mitigar.;E) Dimidiar.;3;No contexto textual, 'aliviar sofrimentos' equivale perfeitamente ao ato de atenuar ou 'mitigar' dores e dificuldades.
sintaxe;2024;[...] os caçadores-coletores anônimos que há 30 mil anos deixaram suas marcas de mão em uma parede na caverna de Chauvet?;Assinale a opção em que o termo sublinhado possui a mesma transitividade do verbo 'deixar' destacado no fragmento acima.;A) A princípio tentara interessá-lo nos problemas sociais que o entusiasmavam.;B) Perdoai as ofensas dos inimigos.;C) Esqueceram-me todas as mágoas, e comecei a gostar desse Belmiro...;D) Chama-lhe sempre de miúdo.;E) Ao dono da loja assiste razão de gabar-se, como o fez, por sua iniciativa.;0;O verbo 'deixar' é Transitivo Direto (VTD). Na opção A, o verbo 'interessar' também é empregado como VTD, tendo '-lo' como objeto direto.
morfologia;2024;"I- '[...] precisa-se urgente antes da noite cair [...]' 
II- 'Em troca oferece-se também uma casa [...]'";Considerando o emprego do vocábulo 'se', assinale a opção correta.;A) Nas duas sentenças, o 'se' é um símbolo de indeterminação do sujeito.;B) Nas duas sentenças, o 'se' é uma palavra expletiva.;"C) Na primeira sentença, o 'se' é um pronome reflexivo; enquanto na segunda é índice de indeterminação.";"D) Na primeira sentença, o 'se' é uma palavra expletiva; enquanto na segunda é um pronome apassivador.";"E) Na primeira sentença, o 'se' é um símbolo de indeterminação do sujeito; enquanto na segunda é um pronome apassivador.";4;Em I, 'precisar' exige preposição ('de alguém'), sendo VTI com sujeito indeterminado. Em II, 'oferecer' é VTD, logo o 'se' funciona como partícula apassivadora.
interpretacao;2024;Texto 'Precisa-se' de Clarice Lispector.;De acordo com o texto II, compreende-se que:;A) sem dividir a alegria não é possível ter muito contentamento.;B) o beneficio oferecido no anúncio envolve somente a própria alegria partilhada.;C) uma pequena alegria não partilhada pode se transformar em um grande drama.;D) a alegria nem sempre necessita de um acontecimento para existir.;E) o estado interior se reflete no exterior inevitavelmente.;3;A crônica aborda a 'alegria-sem-motivo', demonstrando que esse estado de espírito sublime e genuíno independe de fatos externos.
sintaxe;2024;[...] precisa-se de alguém homem ou mulher que ajude uma pessoa a ficar contente porque esta está tão contente que não pode ficar sozinha com a alegria, e precisa reparti-la.;Assinale a opção na qual o trecho sublinhado exerce a mesma função sintática do termo destacado no fragmento apresentado acima.;A) '[...] precisa-se urgente antes da noite cair porque a noite é muito perigosa [...]';B) '[...] implora-se com a humildade da alegria-sem-motivo.';C) 'Sendo este um jornal por excelência, e por excelência dos precisa-se e oferece-se [...]';D) 'Em troca oferece-se também uma casa com todas as luzes acesas como numa festa de bailarinos.';E) 'Mas juro que há em meu rosto sério uma alegria até mesmo divina para dar.';3;O termo em destaque funciona como objeto direto ('reparti-la'). Na opção D, a estrutura apassivada traz o termo correspondente na função compatível de alvo da ação.
ortografia;2024;;Sobre o uso de acentuação em palavras do texto, analise as afirmativas e assinale a opção correta.;A) Apenas a afirmativa I é verdadeira.;B) Apenas a afirmativa II é verdadeira.;C) Apenas a afirmativa III é verdadeira.;D) Apenas as afirmativas I e III são verdadeiras.;E) As afirmativas I, II e III são verdadeiras.;2;Apenas a III é verdadeira: 'Está' e 'até' são acentuados seguindo estritamente a regra das palavras oxítonas terminadas em 'a' e 'e'.
pontuacao;2024;Na palavra 'alegria-sem-motivo', empregada no texto II, o hífen foi usado:;Assinale a alternativa que justifica o uso do hífen na expressão destacada.;A) por se tratar de uma locução substantiva.;B) por se tratar de uma expressão consagrada pelo uso.;C) por aspectos semânticos relacionados ao contexto.;D) pelo mesmo motivo em 'água-de-colônia'.;E) em virtude de os elementos estarem conectados pela preposição 'sem'.;2;O uso do hífen decorre de uma construção estilística e semântica expressiva criada pela autora dentro do contexto literário da crônica.
pontuacao;2024;;Assinale a opção em que a substituição da sentença pelo que está entre colchetes apresenta INCORREÇÃO gramatical com relação à pontuação.;"A) 'Paga-se extraordinariamente bem: minuto por minuto...' [Paga-se extraordinariamente bem; minuto por minuto, paga-se...]";B) ' urgente pois a alegria dessa pessoa é fugaz...' [É urgente, pois, a alegria dessa pessoa é fugaz...];C) 'Em troca oferece-se também uma casa...' [Em troca, oferece-se também uma casa...];D) 'Dá-se o direito de dispor da copa...' [Dá-se o direito de dispor da copa, e da cozinha, e da sala de estar.];E) 'Mas juro que há em meu rosto...' [Mas juro que há, em meu rosto sério, uma alegria...];1;Ao isolar a conjunção explicativa 'pois' entre duas vírgulas, ela passa a ter valor conclusivo deslocado, o que corrompe a sintaxe e o sentido explicativo da frase original.
regencia;2024;[...] precisa-se urgente antes da noite cair porque a noite é muito perigosa e nenhuma ajuda é possível e fica tarde demais.;Com relação ao sinal indicativo de crase, assinale a opção que apresenta a análise correta.;A) Preciso te acompanhar antes da tarde ir... [Não há crase pelo mesmo motivo de não haver no enunciado];B) A noite, ainda que se veja... [No trecho destacado, não deveria haver sinal indicativo de crase...];C) Naquele momento tenso, todos assistiam à noite cair lentamente. [No trecho sublinhado, há sinal indicativo de crase por causa da exigência do vocábulo anterior];D) Naquela escuridão, parecia dizer algo... [No trecho grifado, deveria haver sinal indicativo de crase...];E) À noite, fale quem quiser falar... [O sinal indicativo de crase foi empregado corretamente no trecho destacado];2;A alternativa C indica o uso correto do acento grave motivado pela regência do verbo anterior combinada com o artigo feminino subsequente.
semantica;2024;;Assinale a opção que apresenta corretamente a figura de linguagem presente na sentença '[...] o horror do domingo que fere'.;A) Catacrese.;B) Personificação.;C) Sinédoque.;D) Hipérbato.;E) Metonímia.;1;Atribuir ao 'domingo' (termo inanimado) a ação humana ou capacidade ativa de 'ferir' caracteriza Prosopopeia ou Personificação.
morfologia;2024;[...] não pode ficar sozinha com a alegria, e precisa reparti-la;Assinale a opção em que a colocação pronominal também está em estrita conformidade com a norma culta.;A) Identificaram duas pessoas que encontravam-se desaparecidas.;B) Agora se negam a depor.;C) Quando deitei-me, ele chegou depressa.;D) Me desculpe se falei demais.;E) Ela recusou a proposta, se fazendo de desentendida.;1;O advérbio de tempo 'Agora' funciona como palavra atrativa, tornando a próclise ('se negam') estritamente obrigatória.
morfologia;2024;Sendo este um jornal por excelência, e por excelência dos precisa-se e oferece-se, vou pôr um anúncio em negrito [...];Assinale a opção em que os termos destacados acima foram corretamente classificados de acordo com o contexto.;A) Conjunção - substantivo.;B) Substantivo - substantivo.;C) Verbo - sujeito indeterminado.;D) Verbo - verbo.;E) Pronome - adjunto adverbial.;1;Os termos 'precisa-se' e 'oferece-se' sofreram derivação imprópria ao serem precedidos pela contração 'dos', passando a funcionar gramaticalmente como substantivos.
interpretacao;2024;;Com relação ao gênero textual, assinale a opção que apresenta a correta classification do texto II de Clarice Lispector.;A) Anúncio.;B) Poesia.;C) Conto.;D) Narrativa.;E) Crônica.;4;Trata-se de uma Crônica, gênero que parte de fatos cotidianos ou reflexões íntimas com alto teor poético e sensibilidade literária.
sintaxe;2024;"I- '[...] que atenda ao anúncio [...]' 
II- '[...] até parece que só se as viu depois que tombaram [...]'";Assinale a opção em que as palavras destacadas possuem a mesma classificação sintática dos vocábulos sublinhados nos trechos acima, respectivamente.;A) '[...] que ajude uma pessoa [...]' / '[...] esta está tão contente que não pode [...]';B) '[...] depois que tombaram [...]' / '[...] como estrelas cadentes, que até parece [...]';C) '[...] só tem folga depois que passa o horror do domingo que fere [...]';D) '[...] a alegria que se dá [...]' / '[...] tem que a repartir [...]';E) '[...] Implora-se também que venha [...]' / 'juro que há em meu rosto sério [...]';3;A opção D traz termos com funções correspondentes de Objeto Indireto e Objeto Direto em suas respectivas estruturas sintáticas.
regencia;2024;Texto III - Tirinha do personagem em constante estado de resignação.;Observe o texto III e assinale a opção que preenche corretamente a lacuna presente no último quadrinho: 'NO ATUAL ESTÁGIO ______ ME ENCONTRO...';A) em que;B) a qual;C) em cujo;D) no que;E) o qual;0;O verbo 'encontrar-se' rege a preposição 'em' (quem se encontra, encontra-se EM algum lugar/estágio), exigindo a combinação 'em que'.
interpretacao;2024;Análise interpretativa da tirinha sobre resignação e felicidade.;Com relação à análise do texto III (tirinha), é correto afirmar que:;A) o uso do verbo em diferentes tempos demonstra o estado constante de resignação do personagem.;B) o uso dos adjuntos adnominais 'ontem' e 'hoje' mostra a estabilidade emocional do personagem.;C) o personagem constatou que a sua resignação era, na verdade, felicidade.;D) o personagem não cogitava o fato de que seu estado pudesse ser alterado em algum momento do futuro.;E) no último quadrinho, conclui-se que o personagem sempre foi feliz e não sabia.;0;A variação temporal dos verbos ('estive', 'estou', 'vou ficar') reforça que a resignação se prolonga continuamente pelo passado, presente e futuro.
interpretacao;2024;Cruzamento temático dos textos I, II e III da prova de Oficiais da Marinha.;De acordo com os textos I, II e III, analise as sentenças comparativas e assinale a opção correta.;A) Apenas as afirmativas I, II e III são verdadeiras.;B) Apenas as afirmativas I, III e IV são verdadeiras.;C) Apenas as afirmativas II, III e IV são verdadeiras.;D) Apenas as afirmativas III, IV e V são verdadeiras.;E) Apenas as afirmativas II, IV e V são verdadeiras.;2;A opção C indica corretamente a veracidade das análises textuais cruzadas propostas pelas bancas examinadoras sobre o eixo da felicidade.
interpretacao;2023;Texto 01 - 'Bibliotecas' (Márcio Tavares D'Amaral);Com base no texto 'Bibliotecas', assinale a opção INCORRETA.;A) A execução de Hipatia, filósofa pagã e diretora da Biblioteca, a queima de livros, imposta pela Inquisição e pelo Nazismo, são alguns episódios cruéis relacionados pelo autor...;B) A Biblioteca de Alexandria destacou-se como 'alavanca e apoio' do mundo antigo, base do mundo moderno, comparando-se às descobertas matemáticas de Euclides...;C) Há uma certa imprecisão quanto à época em que ocorreu o incêndio que destruiu a 'mãe das bibliotecas', assim quanto às motivações que levaram a esse crime...;D) Ao longo do texto, sugere-se que o Kindle foi criado como um substituto das bibliotecas. No entanto, subentende-se, por vezes, a desconfiança do autor...;E) No trecho: '[...] bastaria ir lá, intoxicar-se com o ar de séculos de poeira acumulada...' (2°§), o autor refere-se a uma previsão, melancólica, de que vem se tornando 'supérflua' a cultura...;1;A opção B está incorreta no contexto do ensaio, pois as realizações de Euclides e de outros sábios são vistas como frutos ou partes da própria Biblioteca, e não elementos de comparação externa direta de equivalência estrutural conforme as premissas analíticas desenvolvidas.
morfologia;2023;Analise a sentença: 'O Kindle é, que não haja a menor dúvida, uma das maravilhas [...]'. (6°§);Assinale a opção em que o verbo está flexionado no mesmo modo verbal que o verbo destacado no trecho acima (haja - Presente do Subjuntivo).;A) 'Fundada no século III a.C., teve a missão de engaiolar [...]' (1°§);B) 'Se parássemos um pouco nossas correrias, poderíamos [...]' (2°§);C) 'Devíamos pensar um pouco nessas coisas no tempo [...]' (3°§);D) 'Os livros criaram a Sorbonne. Era assim, então.' (5°§);E) 'Se você ainda ama os livros, de fato, conserve-se.' (7°§);4;O verbo 'haja' está flexionado no Presente do Subjuntivo. Na alternativa E, o verbo 'conserve-se' está no Imperativo Afirmativo, que compartilha a mesma forma do Presente do Subjuntivo em construções exortativas de terceira pessoa.
morfologia;2023;Na sentença 'Quem tiver uns livros em casa, guarde-os.' (7°§), há um exemplo de uso correto do pronome.;Assinale a opção em que o uso dos pronomes está de acordo com a norma-padrão.;A) Sempre quis-lhe como fundador da biblioteca.;B) A biblioteca já tem vagas para idosos que se querem reciclar.;C) A questão da doação de livros deve ser resolvida por eu e você.;D) Deus ilumine-te no seu novo emprego como bibliotecário.;E) Os livros podem atestar que nada houve entre eu e você.;1;A opção B está correta. O pronome relativo 'que' atua como fator de próclise obrigatório, atraindo o pronome reflexivo átono para antes do verbo auxiliar ('que se querem reciclar').
morfologia;2023;Analise o trecho abaixo: '[...] teve a missão de engaiolar ao menos um exemplar de todos os livros [...]'. (1°§);Como é denominado o processo de formação de palavras que deu origem ao termo 'engaiolar'?;A) Derivação prefixal.;B) Derivação sufixal.;C) Derivação parassintética.;D) Derivação imprópria.;E) Derivação regressiva.;2;A palavra 'engaiolar' é formada por parassíntese (derivação parassintética), pois há o acréscimo simultâneo do prefixo 'en-' e do sufixo '-ar' ao substantivo 'gaiola', não existindo isoladamente as palavras 'engaiola' ou 'gaiolar'.
sintaxe;2023;Analise a sentença abaixo: 'Estava aberta a todas as áreas da poderosa inquietação que nos move [...]' (1°§);Assinale a opção em que o vocábulo sublinhado tem a mesma função sintática do termo destacado acima (que - Sujeito).;A) 'Pensem que Ptolomeu [...]' (3°§);B) 'O grande astrônomo que defendeu [...]' (3°§);C) '[...] no tempo em que as bibliotecas [...]' (3°§);D) 'Que imagem!' (4°§);E) 'O Kindle é, que não haja a menor dúvida [...]' (6°§);1;No fragmento original, o pronome relativo 'que' exerce a função sintática de Sujeito do verbo 'mover'. Na alternativa B, o pronome relativo 'que' também atua como Sujeito do verbo 'defender'.
semantica;2023;Analise a sentença a seguir: 'Não lhe deram ouvidos. Mas seu livro ficou lá, mudamente dando testemunho [...]' (3°§);No trecho acima, o uso do conector em destaque (Mas) contribui para que tipo de coerência?;A) Pragmática.;B) Semântica.;C) Sintática.;D) Estilística.;E) Genérica.;2;O conector adversativo 'Mas' opera no plano lógico-estrutural das orações estabelecendo uma relação de oposição de ideias, o que diz respeito à coerência e coesão sintática e argumentativa do período.
semantica;2023;;Assinale a opção em que a figura de linguagem está corretamente indicada:;A) 'Todos os livros escritos no mundo.' (1°§) - Sinédoque.;B) 'A Biblioteca de Alexandria era uma alavanca.' (3°§) - Metáfora.;C) 'A filosofia é mulher' (3°§) - Personificação.;D) '[...] combustível para a água quente dos alexandrinos.' (4°§) - Metonímia.;E) '[...] feridas no corpo da nossa história.' (4°§) - Antonomásia.;1;A frase 'A Biblioteca de Alexandria era uma alavanca' é uma Metáfora pura, pois estabelece uma relação de analogia implícita e poética entre o poder gerador e impulsionador da biblioteca e a ferramenta física.
interpretacao;2023;Texto 01 - 'Bibliotecas' (Márcio Tavares D'Amaral);Analise as afirmativas abaixo sobre as ideias do texto e assinale a opção correta.;A) Apenas as afirmativas I, II e III são verdadeiras.;B) Apenas as afirmativas II, III e IV são verdadeiras.;C) Apenas as afirmativas II e IV são verdadeiras.;D) Apenas a afirmativa III é verdadeira.;E) Apenas a afirmativa IV é verdadeira.;4;A análise crítica das assertivas à luz do ensaio de D'Amaral demonstra que apenas a última afirmativa sustenta amparo textual e inferencial fidedigno sobre a sobrevida qualitativa dos livros impressos.
morfologia;2023;Na sentença '[...] saber mais do que temos sabido e sido.' (1°§), a locução verbal está flexionada na:;Assinale a opção que indica o tempo e modo correto da locução verbal sublinhada.;A) primeira pessoa do plural do pretérito imperfeito do subjuntivo.;B) segunda pessoa do plural do pretérito perfeito do subjuntivo.;C) terceira pessoa do plural do futuro do pretérito composto do indicativo.;D) primeira pessoa do plural do pretérito perfeito simples do indicativo.;E) primeira pessoa do plural do pretérito perfeito composto do indicativo.;4;A locução verbal 'temos sabido' é formada pelo verbo auxiliar 'ter' no presente do indicativo seguido do particípio, o que constitui o Pretérito Perfeito Composto do Indicativo na 1ª pessoa do plural.
concordancia;2023;;Assinale a opção em que a concordância verbal está de acordo com a norma-padrão.;A) São eles quem nos obrigou a marchar em direção à biblioteca.;B) Mais de um livro queimaram durante o trágico incêndio.;C) Um fundador e a mídia divulgou informações sobre o incêndio.;D) Coleta-se 10 toneladas de livros da biblioteca para reciclagem.;E) Fazem dois anos desde aquele grande incêndio na biblioteca.;0;A opção A está correta. Com o pronome relativo 'quem', o verbo pode concordar na 3ª pessoa do singular ('obrigou') combinando com o pronome, mantendo-se perfeitamente gramatical.
